age,city,education level,income,marital status,first child,second child,,
23,2,1,4,2,1,1,,
26,1,1,4,1,1,2,,
23,2,1,4,2,1,2,,
22,1,1,2,2,1,2,,
23,2,2,2,2,1,2,,
31,1,2,3,1,3,1,,
25,2,2,3,2,3,2,,
23,2,4,1,1,3,1,,
36,1,1,4,1,3,1,,
28,1,2,3,1,3,1,,
22,1,2,2,2,1,2,,
23,1,2,2,1,2,1,,
30,1,3,4,1,2,1,,
40,1,3,4,1,3,2,,
28,2,3,4,1,3,2,,
32,1,2,3,1,3,1,,
22,1,3,1,2,1,2,,
22,1,2,1,2,1,2,,
23,2,3,1,2,1,1,,
22,1,2,1,1,3,2,,
25,1,2,3,2,2,2,,
22,1,3,3,1,3,1,,
30,1,2,5,1,2,2,,
30,2,2,3,1,2,1,,
45,2,3,2,1,2,1,,
24,1,2,1,1,2,1,,
28,1,2,4,1,2,1,,
32,1,2,6,1,3,1,,
31,1,2,3,1,3,1,,
32,1,2,4,1,2,2,,
34,1,3,2,1,2,2,,
31,2,2,3,1,2,1,,
20,2,2,1,2,1,2,,
29,2,3,4,1,2,2,,
25,1,2,3,2,1,2,,
20,2,3,1,2,1,2,,
33,1,3,4,1,3,2,,
26,1,2,2,1,2,1,,
25,2,4,2,2,1,2,,
38,1,4,1,1,2,1,,
30,1,2,5,1,3,1,,
22,1,2,2,1,3,1,,
33,1,2,3,1,3,1,,
23,2,2,6,2,1,1,,
30,1,2,6,1,3,1,,
35,1,1,5,1,2,1,,
22,2,2,2,2,1,2,,
28,1,2,6,1,2,1,,
20,1,2,1,1,1,1,,
30,2,1,6,1,2,1,,
28,1,2,1,2,1,1,,
23,1,2,1,2,1,2,,
32,1,3,4,1,2,1,,
32,1,4,1,1,2,2,,
25,1,1,3,1,2,1,,
30,1,3,4,1,2,2,,
26,1,3,3,1,2,1,,
20,2,2,1,2,1,2,,
24,2,3,2,1,3,1,,
26,1,3,2,1,3,2,,
33,2,4,2,1,2,1,,
25,1,2,2,1,1,2,,
34,1,2,2,1,2,2,,
30,1,3,5,1,2,1,,
24,1,2,3,2,2,1,,
28,2,2,2,1,2,1,,
47,2,3,3,1,2,2,,
38,1,2,4,1,3,1,,
25,1,1,3,1,3,2,,
32,1,2,3,1,2,1,,
26,1,4,2,1,3,1,,
23,1,2,3,2,1,2,,
30,1,2,2,1,3,1,,
21,2,2,2,2,1,2,,
41,2,3,2,1,3,1,,
30,1,2,4,1,2,1,,
30,1,3,4,1,2,1,,
27,2,3,3,1,3,2,,
32,1,2,5,1,2,2,,
25,1,4,1,2,1,1,,
30,1,2,3,1,3,1,,
40,1,2,2,1,2,2,,
31,1,2,4,1,3,2,,
32,2,2,3,1,1,2,,
21,1,2,3,1,2,1,,
20,2,2,1,2,1,2,,
20,1,2,4,2,1,2,,
32,1,2,5,1,2,1,,
29,1,2,4,2,1,1,,
22,1,2,2,2,3,2,,
33,1,2,5,1,2,1,,
25,1,4,1,1,2,2,,
23,1,1,4,2,1,2,,
22,1,1,3,2,1,2,,
22,2,1,3,2,1,1,,
25,1,1,4,2,1,2,,
23,1,1,4,2,1,1,,
26,2,1,3,2,1,2,,
22,1,1,3,2,1,2,,
23,2,1,3,2,1,2,,
23,1,1,4,2,1,2,,
25,1,1,6,1,1,1,,
22,2,1,2,2,1,1,,
22,1,2,5,2,1,2,,
23,1,2,1,2,1,2,,
22,1,1,1,2,1,2,,
24,1,1,4,2,1,1,,
22,2,1,1,2,1,2,,
20,1,2,1,2,1,2,,
23,1,2,3,2,1,2,,
25,2,2,2,1,1,2,,
21,2,2,3,2,1,2,,
25,1,2,3,1,1,2,,
23,1,1,4,2,1,2,,
23,1,2,4,2,1,2,,
23,1,1,3,2,1,2,,
20,2,2,2,2,1,2,,
32,1,3,4,1,2,1,,
28,2,3,3,1,3,1,,
28,2,3,4,1,3,1,,
23,1,1,1,2,1,2,,
22,1,1,2,2,1,2,,
23,2,1,1,2,1,2,,
23,1,2,2,2,1,2,,
30,1,2,3,1,2,1,,
23,1,2,2,2,1,1,,
23,1,2,2,2,1,2,,
22,1,2,1,2,1,2,,
22,2,2,1,2,1,2,,
31,1,2,3,1,2,2,,
22,2,2,1,2,1,2,,
22,2,2,2,2,1,2,,
23,1,2,2,2,1,2,,
22,2,2,1,2,1,2,,
24,2,2,2,2,1,2,,
24,1,1,5,1,1,2,,
26,1,2,1,2,1,2,,
23,2,1,4,2,1,1,,
23,1,1,3,2,1,2,,
23,1,1,4,2,1,2,,
23,2,2,1,2,1,2,,