age,city,ed_level,monthly_income,marital_status,first-born_situation,second-born_intention
23,否,研究生及以上,9001～12000,否,无,是
26,是,研究生及以上,9001～12000,是,无,否
23,否,研究生及以上,9001～12000,否,无,否
22,是,研究生及以上,3501～6000,否,无,否
23,否,本科,3501～6000,否,无,否
31,是,本科,6001～9000,是,女,是
25,否,本科,6001～9000,否,女,否
23,否,高中及以下,3500以下,是,女,是
36,是,研究生及以上,9001～12000,是,女,是
28,是,本科,6001～9000,是,女,是
22,是,本科,3501～6000,否,无,否
23,是,本科,3501～6000,是,男,是
30,是,专科,9001～12000,是,男,是
40,是,专科,9001～12000,是,女,否
28,否,专科,9001～12000,是,女,否
32,是,本科,6001～9000,是,女,是
22,是,专科,3500以下,否,无,否
22,是,本科,3500以下,否,无,否
23,否,专科,3500以下,否,无,是
22,是,本科,3500以下,是,女,否
25,是,本科,6001～9000,否,男,否
22,是,专科,6001～9000,是,女,是
30,是,本科,12001～15000,是,男,否
30,否,本科,6001～9000,是,男,是
45,否,专科,3501～6000,是,男,是
24,是,本科,3500以下,是,男,是
28,是,本科,9001～12000,是,男,是
32,是,本科,15001及以上,是,女,是
31,是,本科,6001～9000,是,女,是
32,是,本科,9001～12000,是,男,否
34,是,专科,3501～6000,是,男,否
31,否,本科,6001～9000,是,男,是
20,否,本科,3500以下,否,无,否
29,否,专科,9001～12000,是,男,否
25,是,本科,6001～9000,否,无,否
20,否,专科,3500以下,否,无,否
33,是,专科,9001～12000,是,女,否
26,是,本科,3501～6000,是,男,是
25,否,高中及以下,3501～6000,否,无,否
38,是,高中及以下,3500以下,是,男,是
30,是,本科,12001～15000,是,女,是
22,是,本科,3501～6000,是,女,是
33,是,本科,6001～9000,是,女,是
23,否,本科,15001及以上,否,无,是
30,是,本科,15001及以上,是,女,是
35,是,研究生及以上,12001～15000,是,男,是
22,否,本科,3501～6000,否,无,否
28,是,本科,15001及以上,是,男,是
20,是,本科,3500以下,是,无,是
30,否,研究生及以上,15001及以上,是,男,是
28,是,本科,3500以下,否,无,是
23,是,本科,3500以下,否,无,否
32,是,专科,9001～12000,是,男,是
32,是,高中及以下,3500以下,是,男,否
25,是,研究生及以上,6001～9000,是,男,是
30,是,专科,9001～12000,是,男,否
26,是,专科,6001～9000,是,男,是
20,否,本科,3500以下,否,无,否
24,否,专科,3501～6000,是,女,是
26,是,专科,3501～6000,是,女,否
33,否,高中及以下,3501～6000,是,男,是
25,是,本科,3501～6000,是,无,否
34,是,本科,3501～6000,是,男,否
30,是,专科,12001～15000,是,男,是
24,是,本科,6001～9000,否,男,是
28,否,本科,3501～6000,是,男,是
47,否,专科,6001～9000,是,男,否
38,是,本科,9001～12000,是,女,是
25,是,研究生及以上,6001～9000,是,女,否
32,是,本科,6001～9000,是,男,是
26,是,高中及以下,3501～6000,是,女,是
23,是,本科,6001～9000,否,无,否
30,是,本科,3501～6000,是,女,是
21,否,本科,3501～6000,否,无,否
41,否,专科,3501～6000,是,女,是
30,是,本科,9001～12000,是,男,是
30,是,专科,9001～12000,是,男,是
27,否,专科,6001～9000,是,女,否
32,是,本科,12001～15000,是,男,否
25,是,高中及以下,3500以下,否,无,是
30,是,本科,6001～9000,是,女,是
40,是,本科,3501～6000,是,男,否
31,是,本科,9001～12000,是,女,否
32,否,本科,6001～9000,是,无,否
21,是,本科,6001～9000,是,男,是
20,否,本科,3500以下,否,无,否
20,是,本科,9001～12000,否,无,否
32,是,本科,12001～15000,是,男,是
29,是,本科,9001～12000,否,无,是
22,是,本科,3501～6000,否,女,否
33,是,本科,12001～15000,是,男,是
25,是,高中及以下,3500以下,是,男,否
23,是,研究生及以上,9001～12000,否,无,否
22,是,研究生及以上,6001～9000,否,无,否
22,否,研究生及以上,6001～9000,否,无,是
25,是,研究生及以上,9001～12000,否,无,否
23,是,研究生及以上,9001～12000,否,无,是
26,否,研究生及以上,6001～9000,否,无,否
22,是,研究生及以上,6001～9000,否,无,否
23,否,研究生及以上,6001～9000,否,无,否
23,是,研究生及以上,9001～12000,否,无,否
25,是,研究生及以上,15001及以上,是,无,是
22,否,研究生及以上,3501～6000,否,无,是
22,是,本科,12001～15000,否,无,否
23,是,本科,3500以下,否,无,否
22,是,研究生及以上,3500以下,否,无,否
24,是,研究生及以上,9001～12000,否,无,是
22,否,研究生及以上,3500以下,否,无,否
20,是,本科,3500以下,否,无,否
23,是,本科,6001～9000,否,无,否
25,否,本科,3501～6000,是,无,否
21,否,本科,6001～9000,否,无,否
25,是,本科,6001～9000,是,无,否
23,是,研究生及以上,9001～12000,否,无,否
23,是,本科,9001～12000,否,无,否
23,是,研究生及以上,6001～9000,否,无,否
20,否,本科,3501～6000,否,无,否
32,是,专科,9001～12000,是,男,是
28,否,专科,6001～9000,是,女,是
28,否,专科,9001～12000,是,女,是
23,是,研究生及以上,3500以下,否,无,否
22,是,研究生及以上,3501～6000,否,无,否
23,否,研究生及以上,3500以下,否,无,否
23,是,本科,3501～6000,否,无,否
30,是,本科,6001～9000,是,男,是
23,是,本科,3501～6000,否,无,是
23,是,本科,3501～6000,否,无,否
22,是,本科,3500以下,否,无,否
22,否,本科,3500以下,否,无,否
31,是,本科,6001～9000,是,男,否
22,否,本科,3500以下,否,无,否
22,否,本科,3501～6000,否,无,否
23,是,本科,3501～6000,否,无,否
22,否,本科,3500以下,否,无,否
24,否,本科,3501～6000,否,无,否
24,是,研究生及以上,12001～15000,是,无,否
26,是,本科,3500以下,否,无,否
23,否,研究生及以上,9001～12000,否,无,是
23,是,研究生及以上,6001～9000,否,无,否
23,是,研究生及以上,9001～12000,否,无,否
23,否,本科,3500以下,否,无,否